"Variables ->","x","","","","","","","","","","",""
"Comments ->","","","","","","","","","","","",""
"Class[Size] ->","double[10-by-3-by-4]","","","","","","","","","","",""
"1",8.14700000e+01,1.57600000e+01,6.55700000e+01,7.06000000e+01,4.38700000e+01,2.76000000e+01,7.51300000e+01,8.40700000e+01,3.51700000e+01,7.59000000e+00,1.62200000e+01,4.50500000e+01
"2",9.05800000e+01,9.70600000e+01,3.57000000e+00,3.18000000e+00,3.81600000e+01,6.79700000e+01,2.55100000e+01,2.54300000e+01,8.30800000e+01,5.40000000e+00,7.94300000e+01,8.38000000e+00
"3",1.27000000e+01,9.57200000e+01,8.49100000e+01,2.76900000e+01,7.65500000e+01,6.55100000e+01,5.06000000e+01,8.14300000e+01,5.85300000e+01,5.30800000e+01,3.11200000e+01,2.29000000e+01
"4",9.13400000e+01,4.85400000e+01,9.34000000e+01,4.62000000e+00,7.95200000e+01,1.62600000e+01,6.99100000e+01,2.43500000e+01,5.49700000e+01,7.79200000e+01,5.28500000e+01,9.13300000e+01
"5",6.32400000e+01,8.00300000e+01,6.78700000e+01,9.71000000e+00,1.86900000e+01,1.19000000e+01,8.90900000e+01,9.29300000e+01,9.17200000e+01,9.34000000e+01,1.65600000e+01,1.52400000e+01
"6",9.75000000e+00,1.41900000e+01,7.57700000e+01,8.23500000e+01,4.89800000e+01,4.98400000e+01,9.59300000e+01,3.50000000e+01,2.85800000e+01,1.29900000e+01,6.02000000e+01,8.25800000e+01
"7",2.78500000e+01,4.21800000e+01,7.43100000e+01,6.94800000e+01,4.45600000e+01,9.59700000e+01,5.47200000e+01,1.96600000e+01,7.57200000e+01,5.68800000e+01,2.63000000e+01,5.38300000e+01
"8",5.46900000e+01,9.15700000e+01,3.92200000e+01,3.17100000e+01,6.46300000e+01,3.40400000e+01,1.38600000e+01,2.51100000e+01,7.53700000e+01,4.69400000e+01,6.54100000e+01,9.96100000e+01
"9",9.57500000e+01,7.92200000e+01,6.55500000e+01,9.50200000e+01,7.09400000e+01,5.85300000e+01,1.49300000e+01,6.16000000e+01,3.80400000e+01,1.19000000e+00,6.89200000e+01,7.82000000e+00
"10",9.64900000e+01,9.59500000e+01,1.71200000e+01,3.44000000e+00,7.54700000e+01,2.23800000e+01,2.57500000e+01,4.73300000e+01,5.67800000e+01,3.37100000e+01,7.48200000e+01,4.42700000e+01
